aba	acostamento/berma
realização	récorde/jeito/modo/crédito/maneira/ferramenta/meio/caminho
rebaixamento	queda
receptor	televisor/tv/televisão/tevê/rádio
recepção	hospitalidade
recetor	televisor/tv/televisão/tevê/rádio
recipiente	bandeja/cassete/contentores/envelope/mostrador/mostruário/penca/sobrecarta/vasilhame/xícara/balde/bandeja/chávena/gaveta/louça/molho/sobrescrito/tonel/vitrina/vitrine/cesta/copo/fardo/feixe/taça/cesto/lata/vasilha/vaso/colher/pacote/carteira/bolsa/prato/caixa
reciprocidade	correlação
reclame	filipeta/panfleto
reclamo	filipeta/panfleto
recolhedor	cobrador
recomendação	repreensão
recompensa	realeza/crédito/entrada/seguro/sinal
reconhecimento	excusa/recibo/saudação/admissão/comemoração/desculpa/agradecimento/recepção
recontro	desacordo/discordo/rixa/atrito/fricção/discordância
recreaçao	entretenimento/esporte/hobby/celebração/diversão/entreterimento/festividade/passatempo/divertimento/festa/jogo
recta	diamêtro/diâmetro
rectângulo	quadrado
recurso	especialidade/manutenção/pão
recursos	fundos/investimento/capital/crédito
rede	ciberespaço/internet/armadilha
redução	disconto/desconto/abatimento/corte
refeição	almoço/buffet/ceia/comerembanquete/desjejum/lanche/pequeno-almoço/merenda/ágape/banquete/jantar
referência	alvo
reflectividade	reverberação/eco
reflexo	choque
reflexos	choque
reflexão	reverberação/eco
reformador	feminista/manifestante/rebelde
refresco	refrigerante
refrigerador	frigoríficos/geladeira
refrigerantes	refrigerante
refúgio	barraco/casebre/guarida/tenda/cabana/choupana/choça/asilo/barraca/santuário
regime	corte
registro	crónica/crônica/fichário/ficheiro
região	cerque/cima/circunscrição/colónia/comarca/districto/entorno/olimpo/paraíso/quadra/talhe/tapera/tumba/alturas/campos/cintura/colônia/deserto/envolvente/jazida/mato/parque/praça/quarteirão/signo/túmulo/arena/cume/distrito/gramado/hemisfério/locação/lote/sepultura/território/céu/pico/sítio/camada/estrato/interior/junção/terreno/ambiente/bloco/topo/zona/tronco/barriga/campo/domínio/meio/lugar
regiões	circunscrição/comarca/districto/distrito/território/domínio
regra	indicações/ordenamento/guia/restrição/limitação
regulamento	indicações/guia/restrição/limitação
relato	bisbilhotice/bisbolhetice/boletim/fofoca
relatório	bisbilhotice/bisbolhetice/fofoca
relaxação	lazer
relação	convivência/pertinência/relevância/afiliação/filiação/descendência/linhagem/parentesco/associação/categoria/comparação/conhecido/fundação/amizade/afinidade/porção/possessão/sociedade/componente/propriedade/parte/ligação
relevo	florestas/arvoredo/selva/bosque/ilha/mata/floresta
religioso	frei/freira/freiras/madre/monja/religiosa/monge/frade
relutância	hesitação/aversão
relâmpago	trovoadas/trovão/raio
relógio	despertador/relógios
relógios	despertador
remunerador	inquilino/locatário/contribuinte
remuneração	portagem/pedágio/comissão/entrada
remédio	terapia/dose/medicamento
rendimento	safra/colheita
renome	caráter/nome
renúncia	desistência/imunidade
reorientação	reversão
reparação	manutenção
reparo	manutenção
repartição	parcela/parte
repasto	almoço/buffet/ceia/comerembanquete/desjejum/lanche/pequeno-almoço/merenda/ágape/banquete/jantar
repetição	ciclo
reporte	bisbilhotice/bisbolhetice/fofoca
repouso	lazer
representante	delegada/intermediária/mostra/delegado/precedente/excepção/exceção/porta-voz/amostra/agente
representação	cenografia/foto/mapa/retrato/cópia/reprodução/fotografia/esquema/imagem/memória/figura/ilustração/modelo/desenho
reprodução	replicação/réplica
repugnância	revulsão/abominação/repulsa/aversão
repulsa	revulsão/abominação/aversão
reputação	caráter/nome
república	superpoder/superpotência/aliado
requerimento	aplicacao/cobrança/facturação/faturação/invitação/apelação/arrecadação/candidatura/convite/demanda/solicitação/apelo/conta/recurso/ordem
requisição	aplicacao/cobrança/facturação/faturação/invitação/apelação/arrecadação/candidatura/convite/demanda/solicitação/apelo/conta/recurso/ordem
resentimento	ressentimento
residuo	cinzas/cinza
residência	vivenda/habitação/casa
resistência	protesto
resolução	diligência/intenção
respeito	estimação/apreciação
responsabilidade	desvantagem/culpa/falta
responsável	administrador/executivo/gerente
resposta	auto-alimentação/retorno/parecer
restaurante	cafés/cafeteria/lanchonete/café
resto	fossil/fósseis/fóssil
restrição	travão/trela/freio/grilhão/algema/coleira/cadeia
resultado	auto-alimentação/demolição/efeitos/placar/destruição/impacto/influência/desolação/reação/retorno/vitória/efeito/produto/parecer
resumo	sinopse/sumário
resíduo	detrito/negar-sea/resíduos/lixo
reta	diamêtro/diâmetro
retangulo	quadrado
retificação	compensação
retrato	fotografia/plano
retribuição	retaliação/revanche/vindicância/vingança
retângulo	quadrado
reunião	audiências/cimeira/ouvintes/cimeira/elenco/foro/fórum/sessão/turba/cúpula/dupla/aula/conferência/convenção/público/compromisso/manifestação/encontro/feira/montão/par/visita/multidão/curso/classe
revendedor	retalhista/varejista/negociante
revista	resenha/série/jornal
revolucionário	rebelde
revolucionários	rebelde
riqueza	conforto/dinheiro
risco	desvantagem/ameaça
ritmo	frequencia/taxas/freqüência/velocidade/frequência
rito	nupcias/casamento
ritual	nupcias/casamento
rival	campeão
rocha	brita/cascalho/gravilha/mármore
rodovia	autoestrada/auto-estrada/entrada/caminho
roedor	mus/rattus/camundongo/mouse/ratazana/rato
romaria	passeata/desfile/procissão/marcha/parada
rota	órbita/trilha
roteiro	diálogo
roubo	roubalheira/assalto
roupa	agasalho/farda/fardamento/lavandaria/roupas/suéter/véu/saia/vestimenta/casaco/lavanderia/pulôver/uniforme/calça/camisa/fato/vestuário/fantasia/terno/traje/vestido
rua	bulevar/alameda/avenida/estrada
ruminante	cervidae/cervídeo/cervo/veado
ruminantes	cervidae/cervídeo/cervo/veado
rumo	moda/tendência
ruído	baterpalmas/rufo/batida/explosão
saber	disciplina/campo/domínio
sabor	gosto
sacerdote	bispos/cura/bispo/vigário/ministro/padre/pároco/clérigo/pastor
sacolão	supermarket/supermercados/supermercado
sagacidade	astúcia
sala	antecâmara/antessala/compartimento/estudio/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/escritório/cozinha/galeria/quarto/banheiro/classe
salsicha	cachorro-quente
sandes	submarino
sanduiche	submarino
sanduíche	submarino
sanduíches	submarino
sangue	família
sanidade	razoabilidade/sensatez
sanção	laissez-passer/passe
sapato	alpercata/sandália/chinelo
saque	pilhagem/roubo
sargeta	tremonha
satisfação	ufania/soberba/orgulho
satisfeito	satisfação
satélite	satélites/lua
satélites	lua/satélite
saudação	bem-vindo/recebimento/recepção
sazão	estio/inverno/outono/primavera/verão/colheita
saúde	bem-estar
script	diálogo
sebenta	introdução
secreção	perspiração/sudorese/suor/transpiração
secção	fatia/tira/fragmento
segmento	curva
segredo	contra-senha/password/senha
seguidor	amante
segundo	instante/momento
segurança	salvação/abrigo/confiança/proteção
seita	direita
selecção	votação/eleição/voto/banda
seleção	votação/eleição/voto/banda
selo	rótulo/selodocorreio/selos/etiqueta
semblante	aspecto/efeito/cor/rosto/aparência/impressão
semelhança	similardidade/análogo/identidade/retrato/pintura
semente	noz/fruta
semicondutor	chip/microchip
semicondutores	chip/microchip
sensação	pressão/som/dor
sensitivo	médium
sentimento	abalo/dor/langor/zanga/ardor/comoção/desespero/apetite/consternação/espírito/ira/pretensão/angústia/anseio/cólera/emoção/prazer/temor/apatia/raiva/terror/esperança/humor/medo/paixão/sensibilidade/vergonha/alegria/desejo/dor
separação	divorcio/divórcio/incomunicação/isolamento
sequência	gene/genes/guen/seqüência
seqüência	gene/genes/guen
ser	alguém/cria/cruza/embriões/predadores/criatura/embrião/flora/mestiço/prole/animal/besta/bicho/célula/existência/filhote/híbrido/indivíduo/presa/planta/alma/vegetal/pessoa/presença/vida
seriedade	sobriedade/gravidade
serventuário	diplomata/magistrado/embaixador/jurista/juiz/servidor
servidor	ama/arrumadeira/camareira/criada/manequim/empregada/secretário/secretária/modelo
serviço	biscate/cargo/ofício/vocação/arte/profissão/ocupação/emprego/trabalho/posição
sexo	engravidamento/concepção
seção	curva/capítulo/introdução/conclusão/passagem
shopping	boutique/loja/venda
show	película/cinema/filme/emissão/atração/produção/programa
significado	acepção/significação/matiz/sentido/intenção
significação	acepção/matiz/sentido/significado/intenção
significância	acepção/significação/matiz/sentido/significado/intenção
silêncio	paz/relaxamento/serenidade/repouso/calma/paz
simbolo	numeral/vareta/símbolo/selo/número
similardidade	análogo/identidade/semelhança
simpatia	afeição
simplória	tolo/bobo/imbecil/idiota/estúpido
simplório	tolo/bobo/imbecil/idiota/estúpido
sina	falhanço/falha
sinal	numeral/simbolo/símbolos/vareta/aceno/emblema/telefone/símbolo/selo/número
sindicato	cartel
sintoma	fèbre/náuseas/síndroma/síndrome/náusea/febre
sistema	esqueleto/labirinto/calendário/economia/esquema/plano/rede
situação	ascendencia/desemprego/prontidão/recontro/repto/status/ambiência/delinquência/dominancia/estado/inimizade/integridade/melhora/preservação/relacionamento/superioridade/motivação/rapidez/saúde/complicação/confronto/conflito/conforto/hostilidade/melhoria/necessidade/ar/atmosfera/bagunça/culpa/desafio/equilíbrio/liberdade/perigo/preparação/condição/emprego/estado/segurança/carência/tensão/controle/relação/domínio/meio/serviço/ordem/classe/posição
soberano	rei
sobremesa	pudim
sobretudo	paleto/jaqueta/casaco
sociedade	guilda/clube/civilização/cultura/ordem
socorro	consolação/consolo/apoio/mão/ajuda/conforto/suporte/serviço
soda	refrigerante
software	programa
soleira	umbral/limiar
solicitação	aplicacao/cobrança/facturação/faturação/invitação/apelação/arrecadação/candidatura/convite/demanda/apelo/conta/recurso/ordem
solo	areia/argila/florestas/greda/arvoredo/lama/selva/bosque/ilha/mata/floresta/lama/terra
solução	soluto
som	rufo/ruído/toque/batida
soma	produtos/produto/variável
sonho	pesadelo/íncubo
sorte	falhanço/falha
sorção	absorção
status	nacionalidade/hierarquia/posto/classe/posição
subida	declividade/ribeira/barranco/descida/declínio/margem
substantivo	nome
substância	barro/carburante/geleca/gosma/lodo/toxinas/combustível/líqüido/materiais/peçonha/sedimento/átomo/fluido/nutriente/veneno/comida/tóxico/lama/alimento/gelatina/depósito
subtítulo	título
subversivo	rebelde
sucesso	eudemonismo/bem-estar/saúde/solução/aprovação
sugestão	signo
sumário	sinopse/resumo
superabundância	redundância/repetição
superfície	biombo/ecrã/tela/tabuleiro/exterior/face/lado
superior	orientador/supervisor
superioridade	supremacia/monopólio/domínio
supermercado	supermarket/supermercados
supervisor	capataz/chefe
suplente	dublê/substituto
suporte	aprovaçã0/degrau/pedestal/prateleira/estante/barra/aprovação/pé/base
suposição	fundação/teoria/base
susceptibilidade	responsabilização/responsabilidade
suscetibilidade	responsabilização/responsabilidade
suserano	rei
suspensão	descanso/repouso/pausa
suíno	sus/porco
século	era/idade/época/período
série	seqüência/sequência
símbolo	numeral/selodocorreio/selos/vareta/águia/selo/número
símbolos	numeral/vareta/símbolo/selo/número
sítio	cemitérios/lacticínios/leitaria/leiteria/mercearia/necrópole/rancho/campismo/cemitério/escavação/granja/herdade/roça/terras/acampamento/fazenda
sólida	plastico/plásticos/plástico/pó/vidro/cubo/cilindro/bloco
sólido	plastico/plásticos/plástico/pó/vidro/cubo/cilindro/bloco
súdito	cidadã/patriota/cidadão
súplica	cortejamento/galanteio/namoro
taberna	botequim/pub/boteco/bar
tablado	convés/ringue/convés/palco/teatro
tacto	ritmo/tempo
talento	alfabetismo/alfabetização/atenção/meta/vontade/técnica/arte/sentido/inteligência/memória/concentração/habilidade
talher	prataria
talheres	garfo/colher
talude	gradiente/inclinação
tangência	curto-circuito
tanque	aquário
tapete	alcatifa/carpete/tapeçaria
tarefa	assintência/aventura/mão-de-obra/cuidado/dever/projeto/obrigação/trabalho
tarraxa	cavilha/perno/parafuso
taverna	botequim/pub/boteco/taberna/bar
taxa	portagem/tarifa/pedágio/comissão/entrada
taxon	cepa/espécie/estirpe/variante/espécies/espécie
taxón	cepa/espécie/estirpe/variante/espécies/espécie
teatro	cine/cinema
tecido	estádio/lanígero/sacada/torres/varanda/veludo/alojamento/altar/letreiro/lona/pavimento/piso/placar/ponte/prédio/roque/seda/torre/varanda/arena/balcão/cruz/monumento/monumentos/algodão/edifício/lã/painel/abrigo/renda/placa/casa/andar
tecnologia	informática
telefone	ramal
telefonia	telefonema/ligação
telhado	domo/cúpula
tema	questão/problema
temor	estupefação/pânico/consternação/terror/medo
temperamento	otimismo/identidade/personalidade
temperatura	frio
tempero	sal/alho/erva
templo	mesquita/mesquitas/catedral/igrejas/igreja
tempo	actualidade/centúria/decênio/década/estio/fim-de-semana/inverno/outono/primavera/sazão/século/séculos/verão/vindouro/manhã/mês/noitada/porvir/século/vento/colheita/estágio/semana/clima/continuidade/interrupção/trimestre/fase/horário/tarde/duração/era/estação/hoje/idade/época/futuro/presente/ano/passado/suspensão/noite/pausa/período
tendência	simpatia/direção/preferência/compreensão
tendências	moda
tensão	stress/fadiga
tentação	chamariz/engodo/adoçante
terminação	abortação/abortamento/aposentadoria/aborto
termino	abortação/abortamento/aposentadoria/aborto
termo	nomenclatura/terminologia/vocábulo/palavra
terra	areia/argila/florestas/greda/arvoredo/lama/selva/bosque/ilha/mata/floresta/lama
terreno	prados/tapera/campos/cercado/clareira/deserto/parque/praça/grama/gramado/locação/lote/pátio/relva/jardim/quintal/santuário/sítio/prado/campo/lugar
território	empreendimento/quadra/jazida/quarteirão/arena/bloco
terror	estupefação/pânico/consternação/medo
tesouro	fortuna
teste	ensaio/prova/experiência
teto	domo/cúpula
texto	missiva/rascunho/melodia/carta/introdução/linha
tinta	pigmento/pintura/cor
tipo	variante/versão/classe
tipógrafo	impressora
titularidade	presidência
toa	cabo
toada	tema
tocador	cantador/cantor/vocalista
toldo	chapéu-de-chuva/sombrinha/guarda-chuva
tom	acorde/acordes
tomo	fatia/tira/fragmento
toque	impacto
tormento	agonia
torneio	competição/corrida/combate/partida/jogo/luta
tortura	agonia
totalidade	unidade
trabalhador	criado/fura-greve/mineiro/assalariado/obreiro/ajudante/carregador/assistente/empregado/voluntário/servidor/operário
trabalho	assintência/biscate/chácara/estudio/laboratorio/laboratórios/estúdio/granja/mão-de-obra/quinta/cargo/laboratório/oficina/ofício/vocação/cuidado/publicação/sítio/arte/edição/profissão/dever/ocupação/projeto/emprego/tarefa/fazenda/obrigação/posição
tradição	costumes/costume/hábito
tradições	costumes/tradição/costume/hábito
traje	farda/fardamento/roupas/vestimenta/uniforme/vestuário/fantasia/roupa
transa	engravidamento/concepção
transação	comercialismo/transacção/mercantilismo/negócio/comércio
transferência	baldeação/correspondência/conexão
transformação	transição/mudança
transgressão	infringemento/violação/pecado/crime/ofensa
transmissão	multimedia/multimédia
transmutação	transição/mudança
transportação	frete
transporte	baldeação/frete/correspondência/conexão
trapaceiro	impostora/impostor
traqueófitos	maconha
traslado	vacilação/migração/precipitação/regresso/retorno
tratado	teses/dissertação/tese
traumatismo	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
traço	bochecha/chinchilla/mento/testa/têmpora/queixo
trecho	recorte/frase/citação
treinamento	prática/exercício/marcha
treino	prática/exercício/marcha
trevas	escuridão
tribuna	convés/ringue/convés/palco/teatro
trilha	passadeira/faixa
tristeza	terpena/desgosto/amargura/luto/mágoa/remorso/dor/pesar
triunfo	solução/aprovação
tronco	bolbo/galho/ramo/cebola
truque	enganação
trâmite	caminho
tubo	canudo
tubulação	escoadouro
tumores	neoplasia/tumor
tumulto	freneticidade
turista	cavalgador/estrangeira/galopante/galopeador/pedestre/cavaleiro/visitante/passageiro/peão/visita/estrangeiro
táctica	complô/conspiração
táxon	cepa/espécie/estirpe/variante/espécies/espécie
técnica	alfabetismo/alfabetização/metodologia/metodólogia/metodologia/metodologias/arte/habilidade
têxteis	lanígero/veludo/lona/seda/algodão/lã/renda
título	subtítulo/legenda/lenda/direito
tópico	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/assunto/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção
ungulados	égua/cavalo
unidade	molécula/peso
unificação	coalescência
universo	natureza
união	guilda/clube/federação/confederação/sociedade/conexão/ordem/ligação
urgência	insistência/instância/pressão
usina	casademoinho/cervejaria/fábrica/manufatura
uso	utilização/aplicação
usuário	consumidor
utente	consumidor
utilidade	propósito/função
utilizador	consumidor
utilização	aplicação
vacas	vaca
vade-mécum	guia/manual
vademecum	guia/manual
vademécum	guia/manual
vala	trincheira
validação	documentação
vantagem	proveito/privilégio/especialidade/liderança/lucro/recurso/bem
vapor	respingo
vara	clava/porrete
variação	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança
variedade	variante/versão
variável	vectores/vector/vetor
varão	garoto/moço/rapaz/menino/homem
vasilha	caçamba/cuba/cubeta/garrafa/tina/balde/barril/biberão/botelha/frasco/tonel/banheira/barril/pote/garrafa/tigela
vasilhame	caçamba/cuba/cubeta/garrafa/tina/balde/barril/biberão/botelha/frasco/tonel/banheira/barril/pote/vasilha/garrafa/tigela
vaso	caçamba/cuba/cubeta/garrafa/tina/balde/barril/biberão/botelha/frasco/tonel/banheira/barril/pote/vasilha/garrafa/tigela
vegetal	aboboreira/jerimum/pepineiro/espinafre/pepino/abóbora/fava/feijão
vegetação	jardim
velocidade	frequencia/taxas/freqüência/frequência/ritmo
venda	almoeda/arrematação/hasta/leilão
vento	aragem/maresia/zefir/zéfiro/brisa
verbo	nomenclatura/terminologia/vocábulo/termo/palavra
verdade	detalhe/observação
verdura	aboboreira/jerimum/pepineiro/pepino/abóbora
vergonha	ignomínia/desgraça
verificação	documentação
vertebrado	répteis/réptil/ave/pássaro
vestido	farda/fardamento/roupas/vestimenta/uniforme/vestuário/fantasia/traje/roupa
vestimenta	farda/fardamento/roupas/uniforme/vestuário/roupa
vestuário	agasalho/farda/fardamento/lavandaria/roupas/suéter/véu/saia/vestimenta/casaco/lavanderia/pulôver/uniforme/calça/camisa/fato/fantasia/terno/traje/roupa/vestido
vez	jogada/liquidação/promoção
veículo	ambulancia/foguetes/rojão/taxi/ambulância/compacto/teleférico/táxi/viatura/foguete
via	escadaria/estrada-de-ferro/alameda/ferrovia/escada/rodovia/entrada/estrada/caminho
viagem	cruzeiro/passeio
viajante	cavalgador/estrangeira/galopante/galopeador/pedestre/turista/cavaleiro/visitante/passageiro/peão/visita/estrangeiro
vianda	enchidos/lingüiça/bife/salsicha/carne
viatura	ambulancia/foguetes/rojão/taxi/ambulância/compacto/táxi/foguete
vida	sobrevivência/fauna
videira	batata
vidro	cristal
viela	túnel
vigília	velório
vinda	regresso/volta/retorno
vindicação	reabilitação
violência	impulso/protesto/tumulto/vigor/impulso/energia
virtude	virtudes/especialidade/bondade/recurso
visita	convidado/hóspede/visitante
visitante	convidado/hóspede
vista	vislumbre/fundo
viveiro	aquário
vivenda	bangalô/casinha/casinhola/cabana/chalé/choça
vizinhança	bairro
viés	racismo
vocabulário	dicionario/dicionários/dicionário/léxico
vocalização	brado/chamada/grito
vocábulo	nomenclatura/terminologia/termo/palavra
volume	teor/conteúdo/capacidade
vontade	intenção
votação	eleição
voz	soprano
vulnerabilidade	exposição
vão	greta/racha/fresta/fissura/buraco/fenda
víscera	estomago/intestino/intestinos/estômago/fígado/coração/barriga
vítima	baixa
zanga	fúria/ira/cólera/raiva
água	cachoeira/cascata/charco/poça/baía/oceano/catarata/córrego/lago/corrente/canal
álcoois	vinho
álcool	uisque/uísques/whisky/uísque/vinho
ápice	alcance
árbitro	magistrado/jurista/juiz
área	cima/quadra/tumba/jazida/quarteirão/túmulo/arena/cume/sepultura/espectro/pico/junção/bloco/topo/zona
árvore	carvalho-vermelho/carvalho/palma/palmeira
átomo	partícula/grão
ânimo	denodo/coragem
ânsia	ansiedade/temor/medo/preocupação
égua	pônei
época	velhice/reinado/era/idade/juventude/infância/reino/período
ética	consciência
êxito	solução/aprovação
ícone	reflexão
índole	temperamento/disposição
ócio	feria/féria/sueto/férias
órbita	espectro
órgão	caule/folhagem/ala/raíz/asa/raiz/tronco/língua/folha
