abadia	monastério/mosteiro/convento
pigmento	camada/capa/colorante/corante/tinta/cor
pilha	colecção/coleção/aglomeração/acúmulo
pilhagem	saque
piloto	aeronauta/aviador/piloto-aviador/aviadora/aviatriz
pincel	implemento/instrumento/ferramenta
pinta	defeito
pintor	artista
pintora	artista
pintura	camada/capa/colorante/corante/tinta/semelhança/cor
pipa	brinquedo
pipi	excremento/excreção/fezes/merda
pirâmide	poliedro/poliedros
piso	edifício/tecido/estrutura
pista	evidência/indicação
pião	brinquedo
placa	edifício/tecido/estrutura/bloco
placar	chegada/edifício/tecido/estrutura/conclusão/resultado/fim/final
planeta	astro/estrela
plano	conceito/foto/retrato/idéia/pensamento/fotografia/esquema/imagem/opinião/figura/ilustração/desenho/estrutura/sistema/organização/ordem
planta	imagem/figura/ilustração/desenho/organismo/ser
plantel	prédio/edifício
plastico	sólida/sólido
plástico	sólida/sólido
plásticos	sólida/sólido
pneu	arco
pobreza	empobrecimento/miséria
poder	causador/causa
polegar	dedo
policial	polícia/agente/guarda
poltrona	assento/cadeira
poluição	contaminação
político	líder/chefe
ponta	convexidade/fim/final
pontada	costura
pontaria	propulsão/impulsão
ponte	edifício/tecido/estrutura
ponteiro	marco/ponto
ponto	objeto/disco
população	gente/pessoal/povo/agrupação/conjunto/grupo
popô	anatomia
porcentagem	proporção
porco	suíno
porquê	explanação/explicação
porrada	golpe
porrete	bastão/pau/vara
porta	abertura
porta-bagagem	compartimento
porta-malas	compartimento
porta-voz	proponente/defensor/advogado/representante
portagem	estipêndio/encargo/remuneração/taxa/custo
porvir	tempo
porão	pavimento/piso/andar
porção	conexão/fragmento/pedaço/relação
posicionamento	atividade/ocupação
posição	status/atitude/ofício/profissão/ocupação/condição/emprego/estado/função/opinião/serviço/trabalho/lugar/classe/colocação/localização/orientação/situação/condição/estado
possessão	controlo/posse/conexão/propriedade/controle/relação/bem
possibilidade	intercorrência/opção/conceito/alternativa/concepção/eleição/escolha/idéia/ideia
posto	status/hierarquia/condição/estado/classe/posição
postulação	mensagem/tópico/assunto/conteúdo
postura	atitude
pote	vasilhame/vasilha/vaso
potenciabilidade	possibilidade/chance
potencial	possibilidade/chance
poucos	elite/escol
pousada	hotel
povo	população/gente/pessoal/agrupação/conjunto/grupo
povoado	municipalidade/município/comunidade
poça	água
poço	oco/passagem/buraco
prado	terreno/campo/pradaria
prados	terreno/campo
praia	formação
prancha	madeira
prata	condutor/moeda
prataria	talher/prata
prateleira	encosto/apoio/suporte/infra/estrutura
prato	contentor/contêiner/faiença/louças/alimentação/nutriente/nutrição/comida/recipiente/alimento
prazer	emoção/sentimento/impressão
prazo	instante/momento
praça	gleba/terreno/região
precariedade	qualidade
precedente	instância/exemplo/representante
preceptor	instrutor/docente/mestre/professor
precipitação	traslado/deslocamento/movimento
precisão	exactidão/exatidão
preconceito	parcialidade/partidarismo
predadores	criatura/animal/besta/bicho/ser
predecessor	precursor
predileção	gosto/afeição
prefeito	político
preferência	predisposição/gosto/afeição/tendência
pregação	discurso
prejuízo	alteração/modificação/variação/mudança/custo
preleção	discurso
premissa	postulado
premonição	crença/idéia/opinião/ideia/impressão
preocupação	conceito/idéia/pensamento/opinião/ânsia/ansiedade/interesse
preparação	atividade/ocupação/situação/condição/estado
preponderância	número
presa	criatura/animal/besta/bicho/ser
presente	dádiva/brinde/dom/doação/aquisição/tempo
presença	existência/existência/ser
preservação	estado/situação/condição/estado
presidência	titularidade/cargo/legislatura/posto/posição
preso	desafortunado/desventurado/infortunado
pressuposto	postulado
presságio	mensagem/comunicação/experiência
pressão	urgência/sensação
pretendente	alguém/indivíduo/alma/pessoa
pretensão	apetite/anseio/desejo/emoção/sentimento/impressão
prevalência	número
previsão	predição/antecipação/prognóstico
preço	preços/qualidade
preços	preço/qualidade
prima	parente
primavera	sazão/estação/tempo/período
primo	parente
princesa	aristocrata/patrício
princípio	instante/lei/momento
prisioneiro	desafortunado/desventurado/infortunado
privação	pobreza/empobrecimento/miséria/pobreza
privilégio	predominância/vantagem/benefício
probabilidade	quantia/quantitativo/medida/quantidade/qualidade
problema	ocorrente/ocorrência/acontecimento/tema/questão/dificuldade/obstáculo
procedimento	atividade/ocupação
procedência	lugar
processo	causa/atividade/ocupação
procissão	romaria
proclamação	afirmação/declaração
procura	busca/compra/investigação/pesquisa/buscar/aquisição/procurar
produto	consequência/conseqüência/soma/efeito/quantidade/resultado/fim/número/bens/mercadoria/fazenda/artigo/bem
produtor	creador/fazedor/criador/criativo
produtores	creador/criador/criativo
produtos	soma/quantidade/número
produção	espectáculo/acção/feito/show/ato/ação/apresentação/bens/produto
professor	educacionista/pedagogo/educador/acadêmico
profissional	adulto
profissão	ofício/ocupação/emprego/função/serviço/trabalho/lugar/atividade/ocupação
progenitor	genitor
progenitora	genitor/progenitor/pai/mãe
prognose	predição/prognóstico/previsão
prognóstico	predição/previsão
programa	espectáculo/listagem/software/conceito/lista/código/idéia/pensamento/show/informação/opinião/comunicação/aviso/anúncio
programação	conceito/idéia/pensamento/opinião
progresso	desenvolvimento
proibição	acta/decreto
projecto	conceito/idéia/pensamento/opinião
projeto	conceito/idéia/pensamento/opinião/tarefa/trabalho
projéctil	armamento/arma
projétil	projéctil/míssil/armamento/arma
prole	criatura/animal/besta/bicho/ser
proletariado	estrato/classe
prolongamento	duração
promessa	afirmação/declaração
promoção	mensagem/ocasião/tópico/assunto/conteúdo/vez/chance/mudança
promulgação	afirmação/declaração
prontidão	situação/condição/estado
propaganda	promoção/publicidade/informação/anúncio/mensagem/tópico/assunto/conteúdo
proponente	alguém/indivíduo/alma/pessoa
proporção	espaçamento/grandeza/magnitude/número/posição/quociente
proposição	proposta/afirmação/declaração
propriedade	conceito/concepção/idéia/possessão/ideia/controlo/posse/conexão/qualidade/controle/relação/bem
proprietário	homemdenegócios/empresário/negociante/comerciante
propósito	meta/alvo/objectivo/intenção/utilidade
protecção	atividade/ocupação/proteção/capa
protesto	violência/força/resistência
proteção	atividade/ocupação/segurança/capa
proteína	macromolécula
prova	evidência/experimento/argumento/experiência/teste
proveito	predominância/vantagem/benefício
provimento	atividade/ocupação
provérbio	idioma
prática	treinamento/treino/preparação
pré-conceito	parcialidade/partidarismo
pré-condição	premissa/pressuposto
pré-requisito	coisa
prédica	discurso
prédio	edifício/tecido/estrutura
prémio	dádiva/brinde/dom/doação/presente/prêmios/galardão/prêmio
prêmio	dádiva/brinde/dom/doação/presente/prémio/prêmios/galardão/prémio
príncipe	aristocrata/patrício
psicanalista	encolhimento/psiquiatra
psicanálise	psicoterapia
psicologia	ciência
psicólogo	cientista
psique	cognição/noção/conhecimento/compreensão
psiquê	espírito/alma
pub	taverna/boteco/taberna
publicação	obra/trabalho
publicidade	propaganda/promoção/anúncio/mensagem/tópico/assunto/conteúdo
pudim	sobremesa/doce
pugna	conflito/luta
pulo	crescimento/aumento
pulôver	vestuário/roupa
pundonor	auto-estima/orgulho
punhado	aglomeração
punho	mão/pata
punição	penalização/penalidade/castigo
pupila	abertura
pupilo	alguém/indivíduo/alma/pessoa/estudante
página	folhas/folha
pário	alguém/indivíduo/alma/pessoa
pároco	sacerdote/clérigo/pastor
pássaro	vertebrado
pátio	terreno/campo
pânico	consternação/temor/terror/medo
pão	fornada/recurso
pãozinho	pão
pé	encosto/apoio/suporte
pé-direito	espaço
pérola	esfera
pílula	dose/anticoncepcional
pó	sólida/sólido
pônei	égua/cavalo
público	comunidade/reunião/grupo
quadra	território/ambiente/área/região
quadrado	rectângulo/retangulo/retângulo
quadril	anatomia
quadrinhos	cartoon/caricatura
qualidade	conceito/atributo/concepção/característica/idéia/grau/propriedade/ideia
quantidade	conceito/concepção/idéia/ideia
quarteirão	território/ambiente/área/região
quarto	aposento/sala
quebra	ocorrente/ocorrência/acontecimento
queda	descenso/fallout/rebaixamento/alteração/descida/modificação/variação/mudança/gravitação/gravidade/desastre
queijo	lacticínio/laticínio/comida
queimadura	traumatismo/dano/machucado/lesão/mal
queixo	traço
quepe	chapéu
querela	desacordo/discordo/discrepância/discórdia/discordância
querelante	litigante
querido	amado/amante
quermesse	exibição/apresentação
quesito	pergunta/inquérito/questão
questionário	formulário
questão	precariedade/incerteza/pergunta/tema/inquérito
quimica	ciência
quinta	laboratório/oficina/emprego/trabalho
quintal	terreno/campo
quirópteros	mamífero
quitanda	feira/mercado
quota	alocação/atribuição
química	materiais/ciência
rabo	anatomia
racha	vão/abertura/fenda
raciocínio	raciocinio/razoamento/argumentação
racismo	pré-conceito/viés/preconceito
rack	infra/estrutura
radiações	emissões/emissão
radical	alguém/indivíduo/alma/pessoa
radioactividade	emissões/emissão
raio	corisco/relâmpago/luz
raiva	abalo/zanga/comoção/ira/cólera/emoção/sentimento
raiz	órgão/lugar
ramal	telefone
ramerrão	procedimento/processo
ramo	caule/tronco
rancho	chácara/granja/quinta/sítio/fazenda
ranhura	fresta/buraco/fenda
rapariga	mulher/amado/fêmea/juvenil/menor/amante/jovem
rapaz	juvenil/menor/jovem/varão/macho/homem
rapidez	situação/condição/estado
raposa	canídeo/cão
raposa-vermelha	canídeo/cão
rascunho	texto
rastro	marca
ratazana	roedor
rato	roedor
rattus	roedor
razoabilidade	sanidade
razão	explanação/explicação
raça	agrupação/conjunto/grupo
raíz	órgão
reabilitação	exoneração/fisioterapia/vindicação/justificação
reactor	aparato/aparelho/equipamento
reactores	aparato/aparelho/equipamento
realeza	pagamento/recompensa
realidade	experiência
realismo	realidade
realização	acção/atividade/ato/ação
realçe	elemento/componente
reaparecimento	melhoria/progresso
reação	resultado/força
rebelde	cruzado/reformador/revolucionário/revolucionários/subversivo/revolucionário
rebelião	conflito/luta
rebordo	aresta
recebimento	saudação
receio	incerteza/dúvida
recenseamento	enumeração/contagem/conta
recepção	saudação/festa/broadcast/reconhecimento
recessão	crise
recibo	reconhecimento
reclame	propaganda/promoção/publicidade/anúncio
reclamo	propaganda/promoção/publicidade/anúncio
recomendação	loa/louvor/glória/elogio/proposta
recomendações	loa/louvor/glória/elogio
reconhecimento	aplauso/aceitação/aprovação
recontro	situação/condição/estado
recorde	número
recorte	excerto/extrato/trecho/passagem
recuperação	acção/feito/ato/ação/curação
recurso	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/vantagem/apelo/virtude/propriedade/bem/qualidade
recusa	negação
recém-nascido	criança/filho/menino
rede	sistema/organização/aparato/dispositivo/aparelho/equipamento/mecanismo/proteção/instrumento/capa/ferramenta
redundância	pletora/superabundância/excesso
refeição	alimentação/nutriente/nutrição/comida/alimento
referência	apontamento/anotação/publicação/edição/nota
refinamento	perfeição
reflexão	ideia/ícone/fotografia/imagem/figura/ilustração/desenho
reforma	melhoramento/melhoria
refrigerador	frigorifico/frigorífico/frigoríficos/geladeira/frigorífico
refrigerante	refrigerantes/soda/refresco
refugiado	expatriado
refugiados	expatriado
refém	cativo/preso/prisioneiro/desafortunado/desventurado/infortunado
refúgio	asilo
regaço	coxa/anca
registro	ingresso/documento/entrada
região	locação/localização/ponto/lugar
regiões	locação/localização/ponto/lugar
regra	conceito/concepção/idéia/procedimento/processo/ideia/instrução/lei
regresso	traslado/chegada/deslocamento/vinda/movimento
regulamento	conceito/concepção/idéia/ideia
rei	monarca/suserano/soberano/figurinha
reinado	continuidade/duração/era/idade/época/período
reino	monarquia/era/idade/época/período
rejeição	acção/feito/ato/ação
relacionamento	situação/condição/estado
relance	olhada/olhar
relato	documentação/notícia/documento/notícias/artigo
relatório	ensaios/documentação/documento/ensaio
relaxamento	quietude/silêncio/paz
relação	situação/condição/estado/conexão/ligação
relevo	objeto
relevância	relação/ligação
religiosa	religioso
religião	convicção/crença/fé/opinião
relva	terreno/campo/ervas/forragens/gramínea/gramíneas/forragem/erva
relâmpago	corisco/raio
relógios	relógio
remendo	pano
remorso	tristeza/pesar
remuneração	prestação
remédio	entorpecente/droga/medicamento/agente
renda	têxteis/pano/tecido/fazenda
renome	bisbilhotice/bisbolhetice/honra/fofoca
renovação	melhora/melhoria
renúncia	documentação/documento
repasto	alimentação/nutriente/nutrição/comida/alimento
repetição	pletora/superabundância/excesso
replicação	cópia/reprodução
reportagem	notícia/notícias/artigo
reporte	documentação/documento
reposteiro	cortina/mobília/mobiliário/móvel
repouso	interrupção/suspensão/pausa/quietude/silêncio/paz
repreensão	assessoramento/conselho/recomendação
representante	alguém/proponente/indivíduo/defensor/advogado/alma/agente/pessoa/negociador/legislador/informação/conhecimento
reprodução	cópia/afiguração/representação/imagem/figura/ilustração/desenho
repto	situação/condição
repulsa	nojo/asco/repugnância/náusea/abominação/aversão
repórter	comunicador
requerimento	mensagem/tópico/assunto/conteúdo
requisito	coisa
requisição	mensagem/tópico/assunto/conteúdo
resenha	crítica/periódico/revista/jornal
reservas	afirmação/declaração
reservatório	lago
residente	habitante/morador
residência	endereço/alojamento/abrigo/casa
resignação	desespero
resolução	decisão
resort	hotel
respingo	vapor
responsabilidade	susceptibilidade/suscetibilidade
responsabilização	susceptibilidade/suscetibilidade
responsável	líder/chefe
resposta	afirmação/declaração
ressentimento	rancor/resentimento/amargura
ressurgência	melhoria/progresso
ressurreição	melhoria/progresso
restante	categoria/porção/componente/parte
restaurante	prédio/edifício
restauração	melhora/melhoria
restituição	compra/aquisição
resto	categoria/porção/componente/parte/comida
restrição	regulamento/norma/lei/regra/limitação/confinamento
resultado	fenómeno/fenômeno/chegada/conclusão/fim/final/ocorrente/ocorrência/acontecimento/afirmação/declaração
resumo	sumário/afirmação/declaração
resíduo	materiais/lixo/categoria/porção/componente/parte
resíduos	lixo/resíduo
retalhista	mercador/negociante/comerciante/revendedor/distribuidor
retaliação	retribuição
retardar	ociosidade
retificação	melhoramento/melhoria
retirada	abjuração
retomada	melhoria/progresso
retorica	literatura
retorno	resposta/resultado/traslado/chegada/deslocamento/vinda/compra/aquisição/movimento
retrato	afiguração/representação/semelhança/imagem/figura/ilustração/desenho
retribuição	prestação
retórica	literatura
reunião	assembléia/convergência
revanche	retribuição
reverberação	reflectividade/reflexão
reverso	oposição
reversão	reorientação
revisor	crítico
revista	bens/periódico/jornal/produto/produção
revisão	prática/exercício/manutenção
revitalização	melhoria/progresso
revivalismo	melhoria/progresso
revolta	conflito/luta
revulsão	nojo/asco/repugnância/náusea/abominação/repulsa/aversão
revés	ocorrente/ocorrência/acontecimento
revólver	armamento/arma
revóvel	armamento/arma
ribeira	declive/declives/subida/encosta/costa/ladeira
rigor	exactidão/exatidão/precisão
ringue	palanque/tablado/tribuna
rio	córrego/corrente
ritmo	tacto/velocidade
rito	costume/emprego/hábito
ritual	costume/emprego/hábito
rixa	recontro/confronto/conflito
robô	mecanismo
roda	máquina
rodovia	autoestradas/auto-estrada/via/estrada/caminho
rojão	viatura/veículo
rolo	cilindro
romance	ficcionismo/ficção/literatura
ronda	destacamento
roque	edifício/tecido/estrutura
rorqual	cetáceos
rosa	arvoreta/arbusto/mato/moita
rosas	arvoreta/arbusto/mato/moita
rosto	semblante/aspecto/aparência
rota	fronteira
rotação	mudança
roteiro	premissa/pressuposto
rotina	procedimento/processo
roubalheira	furto/roubo
roubo	furto/crime/saque/pilhagem
roupa	vestimenta/vestuário/traje/vestido
roupas	vestimenta/vestuário/traje/roupa/vestido
roça	chácara/granja/quinta/sítio/fazenda/campo
rua	estrada
rufo	ruído/som
ruga	impressão
rumor	bisbilhotice/bisbolhetice/fofoca
ruído	som
ruína	prédio/edifício/declínio/desastre
rádio	radioreceptor/radiorreceptor/recetor/receptor
râguebi	futebol
rã	anfibios/anfíbios/anfíbio
récorde	obtenção/realização
régua	metro
réplica	cópia/reprodução
répteis	vertebrado
réptil	vertebrado
réu	litigante
rótulo	marcadores/marca/selo
rúgbi	futebol
sabonete	clareador
sabor	gosto
sabão	clareador
sacada	edifício/tecido/estrutura
sacolão	feira/mercado
sacrificio	assassinato/homicídio/morte
sacrifício	perda/assassinato/homicídio/morte
safari	expedição
safra	rendimento
safári	expedição
saguão	aposento/quarto/sala/corredor/passagem
saia	vestuário/roupa
sal	aromatizante/condimento/tempero
sala	aposento/quarto
salada	prato
salmão	peixe
salsicha	enchidos/lingüiça/vianda/carne
salto	crescimento/aumento
salvação	segurança
salário	prestação
salão	prédio/edifício/corredor/passagem
sandália	sapato/calçado
santuário	asilo/refúgio/terreno/campo
sanção	aplauso/aprovação
sapato	calçados/calçado
sapo	anfibios/anfíbios/anfíbio
saque	pilhagem
sarcasmo	humor
satisfação	contentamento/realizado/satisfeito/contente
satélite	equipamento/ferramenta/satélites
satélites	equipamento/ferramenta/satélite
saudação	reconhecimento
sazão	etapa/tempo/período
saída	instante/abertura/momento
saúde	eudemonismo/bem-estar/estado/situação/condição/estado/prosperidade/sucesso
sebe	estacada/paliçada/cerca/barreira
sebenta	livro
sebes	estacada/paliçada/cerca/barreira
secretária	criado/ajudante/assistente/servidor/mesa
secretário	criado/ajudante/assistente/servidor
sector	faceta
seda	têxteis/pano/tecido/fazenda
sede	escritório
sedimento	matéria/substância
segmento	porção/parte
segredo	informação
segundo	hierarquia/posto/classe/posição/minuto/instante/momento
segurança	estado/situação/condição/estado
seguro	abrigo/proteção/pagamento/recompensa
seguros	abrigo/proteção
seio	anatomia
seiva	alimento
seleção	encepamento/miscelanea/potpourri/mistura
selo	simbolo/símbolos/aceno/emblema/símbolo/sinal
selodocorreio	símbolo/selo
selos	símbolo/selo
selva	chão/locação/relevo/localização/solo/terra/ponto/lugar/bioma/biomas
semana	etapa/tempo/período
semblante	qualidade
semelhança	similardidade
semente	fruto/fruta
semestre	período
seminário	aula/curso
senha	arcano/segredo
senhor	homem
senhora	mulher
sensatez	sanidade
sensação	excitamento/percepção/excitação/percepção
sensibilidade	emoção/sentimento/impressão
sensor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
sentido	significância/significação/significado/intenção/faculdade/talento
sentimento	intuição/emoção/impressão
sentinela	guarda
sepultamento	funeral/enterro/funeral
sepultura	funeral/enterro/funeral/área/região
sequência	série
seqüência	sequência/série
ser	organismo
serenidade	quietude/silêncio/paz
sermão	discurso
serpente	diapsida
serra	formação
servidor	funcionário/serventuário/trabalhador
serviço	auxílio/socorro/ajuda/dever/assistência/obrigação/atividade/ocupação/situação/condição/estado
sessão	encontro/reunião
seta	projéctil/míssil/projétil
setor	faceta
seção	porção/parte
short	calça
shorts	calça
show	atuação
sida	imunodeficiência
significado	significância/significação/intenção/mensagem/tópico/assunto/conteúdo
significação	significância/significado/intenção/mensagem/tópico/assunto/conteúdo
significância	mensagem/tópico/assunto/conteúdo
signo	indício/sugestão/pista/região
silvicultura	biologia
simbolo	sinal
similardidade	semelhança
simpatia	tendência
simplicidade	qualidade
sina	estado
sinal	mensagem/comunicação/mudança/pagamento/defeito/recompensa
sindicalismo	organização
sindicato	organização
sindicatos	organização
sindicância	inquérito/investigação/pesquisa
sinistro	demanda/procura
sinopse	sumário/resumo
sintoma	evidência
sistema	agrupação/conjunto/grupo
site	calculadora/computador
situação	condição/estado
soberano	governante/governador
soberba	satisfação
sobra	categoria/porção/componente/parte
sobrancelha	cabelo
sobras	comida
sobrecarta	contentor/contêiner/recipiente
sobremesa	prato
sobrescrito	contentor/contêiner/recipiente
sobrevivencia	atividade/ação
sobrevivente	alguém/indivíduo/alma/pessoa/desafortunado/desventurado/infortunado
sobrevivência	animação/vida
sobriedade	seriedade
sobrinho	parente
sobrolho	cabelo
sociedade	associação/contrato/união/organização/acordo/ordem/relação/ligação
soco	porrada/golpe
socorro	atividade/ocupação
sodio	metal/metais
software	código
sofá	assento/cadeira
sol	luz
solecismo	fiasco/bobagem/gafe
solicitante	alguém/indivíduo/alma/pessoa
solicitação	abaixo-assinado/postulação/requerimento/requisição/petição/apelo/mensagem/tópico/assunto/conteúdo
solo	objeto/atividade/ocupação
soluto	solução/mistura
solução	triunfo/êxito/sucesso/mistura
som	sensação
soma	conceito/concepção/idéia/ideia
sombreiro	chapéu
sombrinha	toldo
sonho	imaginação
sopa	prato
soprano	voz
soror	irmã
sorte	fenómeno/fenômeno/estado
spillover	incidente/evento
status	situação/condição/estado
stress	nervosismo/tensão
subida	formação
submarino	sandes/sanduiche/sanduíche/sanduíches
submissão	mensagem/tópico/assunto/conteúdo
subscritor	freguês/cliente/comprador/consumidor
substituto	agente/dobro/suplente
substância	materiais/categoria/matéria/porção/componente/parte
subtítulo	título
suco	alimento
sudorese	secreção
sueto	lazer/ócio
sugestão	proposta/evidência/indicação
suicídio	assassinato/homicídio/morte
sulco	impressão
suma	colecção/coleção/aglomeração/acúmulo
sumo	alimento
sumário	resumo/afirmação/declaração
suor	secreção
supercílio	cabelo
superfície	fronteiras/fronteira/limite
superior	face/lado
superioridade	estado/situação/condição/estado
supermarket	empório/mercado/mercadinho/quitanda/sacolão/supermercado/feira/mercado
supermercado	empório/mercado/mercadinho/quitanda/sacolão/feira/mercado/feira/mercado
supermercados	empório/mercado/mercadinho/quitanda/sacolão/supermercado/feira/mercado
superpoder	país/república/nação
superpotência	país/república/nação
supervisor	orientador/superior
suporte	encosto/apoio/auxílio/socorro/ajuda/assistência/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
suposição	conceito/concepção/idéia/opinião/ideia
supremacia	ascendencia/dominancia/superioridade/controle/domínio
surpresa	alteração/modificação/variação/mudança
sus	suíno/porco
suserano	governante/governador
suspeito	alguém/indivíduo/alma/pessoa/litigante
suspensão	intervalo/tempo
suéter	vestuário/roupa
suíno	porco
suíte	apartamento
sátira	humor
século	etapa/tempo/período
séculos	etapa/tempo/período
série	periódico/revista/jornal
símbolo	simbolo/símbolos/aceno/emblema/sinal
símbolos	sinal
símile	inferência/raciocínio/dedução
símio	primata/primatas
síndroma	sintoma
síndrome	sintoma
sítio	calculadora/computador/laboratório/oficina/emprego/trabalho/gleba/bloqueio/terreno/região
sócio	alguém/indivíduo/alma/pessoa
sódio	metal/metais
sósia	alguém/indivíduo/alma/pessoa
sótão	pavimento/piso/andar
t-shirt	camisa
tabela	array/ordem
taberna	taverna/boteco
tabuleiro	superfície
tafeiro	ajudante/assistente/empregado
talento	inteligência/capacidade/poder/habilidade
talhe	região
talismã	objeto
tamanho	grandeza/magnitude/número
tambor	cilindro
tamborete	assento/cadeira
tapera	bioma/biomas/gleba/terreno/região
tapete	mobília/mobiliário/móvel
tapeçaria	mobília/mobiliário/tapete/móvel
tarde	etapa/tempo/período/jornada/dia
tarefa	projeto/trabalho
tarifa	taxa/preço/custo
tato	percepção
taxa	imposto
taxas	velocidade/ritmo
taxação	imposto
taxi	auto/automóvel/viatura/carro/veículo
taça	contentor/contêiner/faiença/louças/recipiente
teatro	palanque/tablado/tribuna/comunicado/comunicação
tecido	anatomia/artefato
tecla	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
tecnologia	disciplina/campo/domínio
tela	superfície
telefone	sinal
telefonema	telefonia
teleférico	veículo
telejornais	emissão/programa
telespectador	espectador/observador
televisor	radioreceptor/radiorreceptor/recetor/receptor
televisão	radioreceptor/radiorreceptor/recetor/receptor
telhado	proteção/capa
tema	aria/toada/conceito/melodia/idéia/pensamento/opinião/mensagem/tópico/assunto/conteúdo
temor	abalo/comoção/emoção/sentimento/ânsia/ansiedade/preocupação
temperamento	índole/atributo/natureza/predicado/característica/propriedade
templo	casadeoração/igreja
tempo	etapa/clima/período/tacto
tenda	asilo/refúgio
tendência	atitude/rumo/direcção/direção/gosto/afeição/curso
tensão	estado/inimizade/hostilidade/situação/condição/estado/nervosismo
tentativa	atividade/ocupação
tentação	efeito
teologia	disciplina/campo/domínio
teor	volume
teoria	conceito/concepção/possibilidade/idéia/suposição/hipótese/opinião/ideia
terapeuta	especialista
terapia	medicamento/remédio
terminologia	verbo/vocábulo/termo/palavra
termo	verbo/vocábulo/palavra/afirmação/declaração
terno	vestuário/roupa
terpena	tristeza/pesar
terra	objeto/solo
terras	chácara/granja/quinta/sítio/fazenda/imobiliária/imóvel
terreno	gleba/região
território	regiões/região/região
terror	abalo/comoção/consternação/emoção/sentimento/temor/medo
terrorista	radical
tese	tratado
teses	tratado
tesouro	colecção/coleção/aglomeração/acúmulo
testa	traço
teste	comunicado/comunicação/investigação
testemunha	alguém/indivíduo/alma/pessoa
teto	proteção/capa
tevê	radioreceptor/radiorreceptor/recetor/receptor
texto	livro
teórico	intelecto/intelectual
thread	materiais
tigela	vasilhame/vasilha/vaso
tigre	gato
tijolo	cerâmica
tina	vasilhame/vasilha/vaso
tinta	camada/capa/colorante/corante/cor
tio	parente
tipo	categoria/espécies/raça/género/classe
tira	policial/polícia/agente/guarda/tomo/secção/porção/pedaço/parte
tiro	propulsão/impulsão
toa	fio/corda/linha
toada	música
toalha	pano
tocha	luz
tolice	mensagem/tópico/assunto/conteúdo
tolo	matarruano/simplória/simplório/idiota/estúpido
tom	ambiência/fala/ar/atmosfera
tonel	vasilhame/vasilha/vaso/contentor/contêiner/recipiente
tonicidade	importância
topeira	insectívoros
topo	face/lado/área/região/extremos/extremo
toque	percepção/som
tora	madeira
tormento	dor/angústia/dor
torneio	certame/concurso/competição/partida/jogo
torneira	bica
torrada	pão
torre	edifício/tecido/estrutura
torres	edifício/tecido/estrutura
torrão	aglomeração
torso	anatomia
torta	pastel
tortura	dor/angústia/dor/perseguição
torção	movimento
toste	pão
toupeira	insectívoros
toxinas	substância
trabalhador	alguém/indivíduo/alma/pessoa/obreiro/operário
trabalho	laboratório/oficina/ofício/profissão/ocupação/emprego/função/serviço/lugar/atividade/ocupação/tarefa
tracção	atrito/fricção
tradição	tradições/costumes/costume/hábito
tragédia	drama/infortúnio/azar
traje	vestuário/roupa/vestido
tramitação	debate/discussão
transacção	transação
transferência	movimento
transito	colecção/coleção/aglomeração/acúmulo
transição	transmutação/transformação/mudança
transmissão	engrenagem/mensagem/marcha
transpiração	secreção
transportação	industria/empresa/negócio/comércio
transporte	industria/empresa/negócio/comércio/movimento
trança	penteado
trapeira	pavimento/piso/andar
traseiro	anatomia
tratamento	gestão/administração
trave	peça/pedaço
travesseiro	almofada
travão	restrição/limitação
traço	anatomia
tração	atrito/fricção
trecho	passagem
treinador	líder/chefe
treinamento	atividade/ocupação
treino	atividade/ocupação
trela	restrição/limitação
tremonha	sargeta
trevas	ambiência/ar/atmosfera/iluminação
triangulo	polígono
tribulação	aflição
tribunal	assembleia/assembléia
tributo	imposto/aplauso/aprovação
trigo	cereais/cereal
trilha	itinerário/itinerários/percurso/rota/evidência/linha/estrada/caminho
trimestre	etapa/tempo/período
trincheira	fossa/vala
tristeza	desgosto/mágoa/dor/pesar
triângulo	polígono
troca	conversação/conversa/mudança
troco	cache/numerário/dinheiro
troféu	prémio/prêmios/galardão/prémio/prêmio
tronco	madeira/anatomia/órgão/região
tropa	corpo
trote	astúcia/artimanha
trovoadas	corisco/relâmpago/raio
trovão	corisco/relâmpago/raio
troço	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
truque	desempenho/performance/interpretação/apresentação/desvantagem/artimanha/obstáculo
tráfego	colecção/comercialismo/mercantilismo/coleção/aglomeração/comércio/acúmulo
tráfico	comercialismo/mercantilismo/comércio
tránsito	colecção/coleção/aglomeração/acúmulo
trâmite	acção/atividade/ato/ação
trânsito	colecção/comercialismo/mercantilismo/coleção/aglomeração/comércio/acúmulo
tubo	canais/pipeline/cachimbo/cano/condutas/conduto/cilindro/ducto/duto/canal
tumba	área/região
tumor	tumores
tumores	enfermidade/doença
tumulto	violência/força
turba	reunião
turismo	industria/empresa/negócio/comércio
turista	viajante
turno	horas
tutor	instrutor/docente/mestre/professor
tv	radioreceptor/radiorreceptor/recetor/receptor
tábua	madeira
táctica	programa
tática	programa
táxi	auto/automóvel/viatura/carro/veículo
tâmara	fruta
técnica	capacidade/poder/habilidade/talento
técnico	líder/chefe
